User_ID,Role,Region,Lead_Source,CRM_Action,Daily_Logins,Failed_Logins,Access_Hour,Device_Type,Data_Sensitivity,Policy_Compliance_Score,Anomaly_Score,Permission_Granted,Governance_Score,Access_Decision
21,Sales Rep,North,Web,ApproveDiscount,4,0,15,Managed,2,100.0,0.254,False,51.65,Block
22,Support,North,Web,CreateOpportunity,4,2,8,BYOD,5,86.42,0.155,True,52.38,Block
23,Analyst,South,Campaign,ApproveDiscount,9,0,11,Managed,5,79.63,0.758,False,28.92,Block
24,Manager,South,Partner,CreateOpportunity,5,1,12,Managed,4,71.76,0.177,True,49.7,Block
25,Support,East,Campaign,CreateOpportunity,5,1,20,Managed,2,88.87,0.172,True,57.8,Block
26,Sales Rep,North,Partner,EditLead,4,0,13,Managed,1,75.77,0.206,False,45.37,Block
27,Sales Rep,North,Referral,ViewLead,9,2,13,Managed,4,90.25,0.277,True,51.66,Block
28,Sales Rep,South,Partner,EditLead,3,1,13,Managed,4,91.31,0.225,False,45.34,Block
29,Sales Rep,North,Campaign,EditLead,8,0,19,Managed,1,82.76,0.12,False,49.96,Block
30,Admin,North,Web,EditLead,4,1,16,BYOD,1,90.04,0.274,True,56.65,Block
31,Sales Rep,South,Partner,EditLead,8,1,19,Managed,4,90.58,0.176,False,46.29,Block
32,Sales Rep,North,Campaign,CreateOpportunity,2,1,9,Managed,5,81.95,0.232,True,50.89,Block
33,Analyst,North,Email,ViewLead,3,1,21,Managed,4,82.7,0.293,True,50.63,Block
34,Support,South,Campaign,ViewLead,7,0,18,Managed,4,74.27,0.531,True,43.71,Block
35,Sales Rep,West,Email,ViewLead,8,1,12,BYOD,5,89.42,0.358,True,50.35,Block
36,Analyst,North,Referral,ViewLead,8,0,21,Managed,5,77.31,0.192,True,52.26,Block
37,Sales Rep,North,Email,ViewLead,9,1,8,Managed,2,73.72,0.092,True,54.49,Block
38,Manager,South,Partner,EditLead,6,1,8,Managed,5,83.16,0.068,True,55.41,Block
39,Manager,East,Referral,ViewLead,8,1,16,Managed,4,81.85,0.25,True,51.41,Block
40,Sales Rep,East,Campaign,ViewLead,4,0,8,Managed,5,81.67,0.063,True,57.01,Block
41,Support,North,Web,EditLead,4,0,22,Managed,3,73.85,0.124,False,44.74,Block
42,Support,South,Referral,ViewLead,6,2,20,BYOD,3,71.65,0.412,True,42.77,Block
43,Admin,North,Partner,ViewLead,7,0,9,BYOD,2,87.77,0.365,True,54.6,Block
44,Sales Rep,North,Partner,ViewLead,4,0,15,Managed,3,82.79,0.16,True,56.97,Block
45,Sales Rep,East,Partner,EditLead,8,0,7,Managed,4,73.24,0.04,False,45.63,Block
46,Analyst,North,Web,ViewLead,3,0,10,Managed,3,76.08,0.074,True,56.77,Block
47,Sales Rep,West,Partner,CreateOpportunity,9,0,6,Managed,2,75.37,0.229,True,53.65,Block
48,Manager,East,Partner,EditLead,4,0,19,Managed,3,54.59,0.109,True,48.37,Block
49,Sales Rep,North,Referral,ViewLead,6,0,13,Managed,3,57.28,0.093,True,49.72,Block
50,Analyst,West,Partner,CreateOpportunity,6,0,13,BYOD,2,82.89,0.334,True,53.67,Block
51,Support,North,Email,CreateOpportunity,7,1,16,Managed,4,85.27,0.118,True,55.88,Block
52,Analyst,South,Referral,ViewLead,6,0,9,Managed,1,82.96,0.186,True,58.39,Review
53,Support,South,Email,CreateOpportunity,5,0,20,Managed,2,94.87,0.104,True,63.6,Review
54,Sales Rep,South,Campaign,ViewLead,7,0,8,BYOD,3,72.78,0.342,True,48.93,Block
55,Sales Rep,West,Partner,ViewLead,6,2,6,Managed,3,100.0,0.332,True,54.69,Block
56,Sales Rep,East,Web,ViewLead,7,0,19,Managed,3,83.0,0.122,True,57.99,Block
57,Manager,North,Campaign,CreateOpportunity,1,0,12,Managed,4,90.23,0.13,True,59.32,Review
58,Sales Rep,South,Referral,EditLead,4,0,16,Managed,1,73.82,0.124,False,46.73,Block
59,Analyst,East,Partner,ViewLead,2,1,19,Managed,3,74.01,0.078,True,53.95,Block
60,Manager,South,Campaign,ExportCRM,5,0,18,Managed,2,82.59,0.102,True,59.36,Review
61,Admin,East,Campaign,EditLead,5,2,6,Managed,2,90.33,0.043,True,59.54,Review
62,Manager,East,Campaign,EditLead,3,0,12,Managed,2,94.72,0.106,True,63.51,Review
63,Admin,East,Partner,ExportCRM,7,0,16,Managed,2,65.3,0.449,True,44.63,Block
64,Admin,South,Email,ViewLead,7,2,7,Managed,4,92.49,0.127,True,56.2,Block
65,Admin,North,Campaign,EditLead,3,1,12,Managed,4,83.71,0.238,True,52.36,Block
66,Manager,South,Email,ExportCRM,2,0,6,BYOD,1,83.01,0.449,True,51.83,Block
67,Analyst,South,Email,CreateOpportunity,1,0,22,Managed,5,98.21,0.561,True,50.34,Block
68,Sales Rep,North,Campaign,ViewLead,3,0,20,Managed,5,69.2,0.185,True,49.6,Block
69,Manager,West,Partner,CreateOpportunity,8,0,22,Managed,5,76.24,0.321,True,48.67,Block
70,Manager,South,Campaign,EditLead,4,0,13,BYOD,3,91.87,0.387,True,54.47,Block
71,Analyst,West,Email,ViewLead,5,1,8,Managed,2,83.78,0.044,True,59.22,Review
72,Sales Rep,East,Partner,ViewLead,7,2,10,Managed,2,88.19,0.269,True,53.14,Block
73,Analyst,North,Campaign,EditLead,9,0,20,Managed,2,77.66,0.202,False,45.13,Block
74,Analyst,West,Partner,ApproveDiscount,5,1,6,BYOD,5,94.78,0.219,False,45.7,Block
75,Sales Rep,North,Referral,ViewLead,12,0,18,BYOD,4,68.56,0.256,True,48.59,Block
76,Manager,South,Campaign,ViewLead,7,1,19,Managed,4,69.93,0.172,True,49.18,Block
77,Sales Rep,West,Email,CreateOpportunity,3,1,10,BYOD,5,96.21,0.187,True,57.01,Block
78,Sales Rep,West,Partner,EditLead,6,0,6,Managed,4,78.23,0.193,False,43.56,Block
79,Sales Rep,West,Email,ViewLead,5,0,18,Managed,4,88.95,0.077,True,60.2,Review
80,Sales Rep,West,Referral,CreateOpportunity,13,1,19,Managed,1,93.88,0.096,True,62.47,Review
81,Manager,North,Referral,ViewLead,3,1,8,Managed,1,86.18,0.214,True,56.81,Block
82,Analyst,South,Email,CreateOpportunity,8,1,10,Managed,4,82.46,0.123,True,54.78,Block
83,Admin,South,Campaign,DeleteLead,4,4,17,Managed,5,97.66,0.194,True,51.34,Block
84,Support,North,Email,ApproveDiscount,5,1,9,Managed,3,79.78,0.04,False,46.93,Block
85,Manager,West,Campaign,ApproveDiscount,6,1,12,Managed,2,71.3,0.122,True,52.89,Block
86,Sales Rep,East,Partner,CreateOpportunity,7,1,7,Managed,4,81.1,0.33,True,49.15,Block
87,Admin,North,Partner,ExportCRM,4,1,6,BYOD,4,74.43,0.229,True,49.31,Block
88,Sales Rep,East,Campaign,CreateOpportunity,6,0,19,Managed,5,79.37,0.135,True,54.4,Block
89,Support,East,Partner,CreateOpportunity,3,0,21,Managed,5,70.42,0.187,True,49.96,Block
90,Sales Rep,South,Web,ViewLead,6,0,20,Managed,4,95.99,0.186,True,59.95,Review
91,Manager,West,Referral,ViewLead,8,1,16,Managed,2,85.58,0.13,True,57.7,Block
92,Sales Rep,East,Referral,ViewLead,5,1,14,Managed,5,100.0,0.166,True,58.85,Review
93,Support,North,Email,CreateOpportunity,2,0,21,Managed,2,83.2,0.323,True,54.05,Block
94,Admin,West,Campaign,CreateOpportunity,4,1,8,Managed,4,98.84,0.223,True,58.02,Review
95,Admin,East,Partner,EditLead,8,0,22,Managed,5,76.27,0.125,True,53.56,Block
96,Sales Rep,West,Referral,ViewLead,7,1,13,Managed,2,77.32,0.344,True,49.47,Block
97,Sales Rep,South,Email,ViewLead,6,1,21,Managed,5,79.28,0.207,True,50.58,Block
98,Support,East,Web,CreateOpportunity,6,0,15,Managed,2,80.69,0.077,True,59.32,Review
99,Sales Rep,South,Referral,ViewLead,3,2,7,Managed,2,62.02,0.61,True,35.45,Block
100,Admin,West,Web,CreateOpportunity,2,1,15,Managed,4,84.77,0.118,True,55.71,Block
101,Sales Rep,North,Referral,ApproveDiscount,8,1,21,Managed,1,84.17,0.349,False,42.74,Block
102,Manager,North,Partner,ExportCRM,5,2,7,Managed,5,87.64,0.159,True,52.69,Block
103,Support,North,Email,ViewLead,6,0,19,Managed,5,69.72,0.112,True,51.59,Block
104,Sales Rep,West,Campaign,ApproveDiscount,4,0,15,BYOD,4,92.9,0.377,False,44.08,Block
105,Sales Rep,North,Partner,ApproveDiscount,3,0,9,BYOD,2,78.75,0.249,False,44.35,Block
106,Admin,East,Web,ViewLead,4,0,11,Managed,2,89.59,0.223,True,58.77,Review
107,Sales Rep,West,Partner,EditLead,6,1,7,Managed,3,87.53,0.198,False,45.68,Block
108,Analyst,West,Web,DeleteLead,6,1,14,Managed,5,84.24,0.313,False,39.66,Block
109,Admin,South,Campaign,ViewLead,8,0,13,Managed,3,83.39,0.08,True,59.2,Review
110,Analyst,North,Web,ViewLead,5,2,15,Managed,5,94.25,0.434,True,48.15,Block
111,Support,West,Web,EditLead,9,0,15,Managed,3,68.3,0.161,False,41.88,Block
112,Manager,West,Campaign,ViewLead,4,0,7,BYOD,3,82.34,0.204,True,55.73,Block
113,Admin,North,Web,ViewLead,11,0,6,BYOD,3,89.01,0.147,True,59.48,Review
114,Manager,South,Campaign,EditLead,8,2,20,BYOD,2,82.75,0.397,True,48.05,Block
115,Support,West,Campaign,ApproveDiscount,5,0,21,Managed,3,78.91,0.026,False,48.97,Block
116,Sales Rep,North,Email,ViewLead,9,0,21,Managed,4,87.68,0.263,True,55.11,Block
117,Analyst,North,Campaign,ViewLead,11,0,14,Managed,4,74.44,0.085,True,54.93,Block
118,Support,North,Partner,EditLead,3,1,7,Managed,3,82.64,0.023,False,48.36,Block
119,Admin,West,Campaign,CreateOpportunity,5,0,12,Managed,2,74.07,0.136,True,55.51,Block
120,Support,West,Campaign,ViewLead,3,2,13,Managed,3,91.5,0.071,True,58.25,Review
121,Manager,West,Web,ViewLead,7,0,9,Managed,1,79.91,0.137,True,58.54,Review
122,Admin,South,Campaign,ApproveDiscount,3,0,15,Managed,3,81.85,0.425,True,50.01,Block
123,Manager,West,Campaign,ViewLead,3,1,10,Managed,5,100.0,0.101,True,60.48,Review
124,Manager,South,Web,ViewLead,8,1,19,Managed,5,96.11,0.241,True,55.6,Block
125,Sales Rep,North,Referral,CreateOpportunity,5,0,21,BYOD,4,97.62,0.211,True,59.88,Review
126,Manager,East,Referral,EditLead,7,0,18,Managed,3,84.83,0.078,True,59.74,Review
127,Support,South,Partner,EditLead,6,0,19,Managed,4,74.43,0.239,False,41.07,Block
128,Analyst,West,Campaign,ApproveDiscount,5,0,10,Managed,1,100.0,0.087,False,56.83,Block
129,Sales Rep,East,Web,CreateOpportunity,13,0,20,Managed,4,78.69,0.215,True,53.16,Block
130,Sales Rep,South,Campaign,CreateOpportunity,5,2,10,Managed,3,84.41,0.36,True,48.55,Block
131,Sales Rep,West,Web,CreateOpportunity,4,0,18,BYOD,4,88.24,0.283,True,54.81,Block
132,Support,North,Partner,ViewLead,7,1,15,BYOD,1,74.15,0.461,True,46.43,Block
133,Manager,North,Web,EditLead,10,0,15,BYOD,1,70.94,0.111,True,56.06,Block
134,Sales Rep,North,Referral,EditLead,6,0,19,Managed,5,92.24,0.25,False,46.02,Block
135,Manager,South,Email,ViewLead,6,0,18,Managed,2,95.12,0.202,True,61.25,Review
136,Manager,South,Email,EditLead,10,0,14,Managed,1,100.0,0.51,True,56.26,Block
137,Support,West,Referral,ExportCRM,4,1,11,Managed,3,70.26,0.322,False,36.54,Block
138,Support,East,Campaign,DeleteLead,4,1,20,BYOD,2,98.61,0.196,False,50.61,Block
139,Support,West,Web,ViewLead,4,0,17,Managed,3,71.02,0.121,True,53.83,Block
140,Sales Rep,West,Referral,ViewLead,5,0,7,BYOD,4,83.02,0.136,True,56.65,Block
141,Analyst,East,Email,ExportCRM,6,2,17,Managed,2,79.19,0.061,False,45.2,Block
142,Admin,South,Web,ApproveDiscount,5,0,7,Managed,4,84.01,0.346,True,51.76,Block
143,Sales Rep,East,Email,ViewLead,4,2,15,Managed,4,83.52,0.019,True,55.77,Block
144,Sales Rep,South,Partner,CreateOpportunity,4,1,17,Managed,3,74.91,0.12,True,53.22,Block
145,Analyst,East,Campaign,ApproveDiscount,7,0,15,Managed,3,98.25,0.293,False,49.07,Block
146,Analyst,West,Web,ViewLead,7,0,13,BYOD,4,85.63,0.469,True,49.25,Block
147,Support,East,Web,CreateOpportunity,9,0,6,Managed,1,94.81,0.074,True,65.33,Review
148,Manager,East,Partner,EditLead,9,1,17,Managed,2,93.87,0.578,True,49.4,Block
149,Manager,East,Partner,ViewLead,10,0,8,Managed,4,87.96,0.245,True,55.67,Block
150,Support,East,Campaign,ViewLead,6,1,7,BYOD,3,82.38,0.356,True,49.93,Block
151,Support,North,Web,ViewLead,3,1,10,Managed,3,93.88,0.277,True,55.93,Block
152,Admin,West,Partner,CreateOpportunity,2,2,10,BYOD,1,89.24,0.313,True,53.42,Block
153,Analyst,West,Referral,ViewLead,6,1,17,Managed,4,79.59,0.126,True,53.71,Block
154,Support,East,Web,ApproveDiscount,6,2,17,Managed,3,76.64,0.254,False,38.48,Block
155,Sales Rep,East,Email,ApproveDiscount,2,0,20,Managed,2,75.54,0.422,False,38.88,Block
156,Admin,North,Web,CreateOpportunity,7,0,13,BYOD,5,89.34,0.189,True,56.55,Block
157,Sales Rep,South,Partner,ViewLead,7,0,13,Managed,2,93.62,0.005,True,65.65,Review
158,Analyst,North,Referral,CreateOpportunity,10,0,10,BYOD,5,100.0,0.184,True,60.41,Review
159,Sales Rep,South,Web,ExportCRM,4,0,6,Managed,3,88.11,0.166,False,48.7,Block
160,Analyst,South,Partner,ViewLead,5,0,11,Managed,2,92.84,0.224,True,59.9,Review
161,Analyst,North,Web,EditLead,3,0,17,Managed,1,83.15,0.31,False,45.34,Block
162,Manager,South,Partner,ViewLead,5,2,22,Managed,1,91.21,0.142,True,58.37,Review
163,Sales Rep,West,Campaign,EditLead,4,0,9,Managed,4,83.47,0.1,False,47.71,Block
164,Sales Rep,North,Referral,ExportCRM,2,2,8,Managed,5,93.76,0.028,False,48.12,Block
165,Admin,East,Campaign,ApproveDiscount,5,0,22,Managed,5,84.33,0.186,True,54.86,Block
166,Admin,North,Web,CreateOpportunity,3,0,12,Managed,2,90.55,0.396,True,54.79,Block
167,Manager,West,Campaign,EditLead,9,0,9,Managed,3,99.75,0.504,True,54.32,Block
168,Admin,East,Email,DeleteLead,5,0,21,Managed,1,82.5,0.191,True,58.1,Review
169,Sales Rep,North,Referral,CreateOpportunity,8,0,7,Managed,5,79.91,0.207,True,52.8,Block
170,Manager,North,Campaign,EditLead,1,0,19,BYOD,1,79.41,0.468,True,50.09,Block
171,Support,East,Referral,ViewLead,9,0,22,Managed,4,84.29,0.356,True,51.6,Block
172,Sales Rep,North,Referral,CreateOpportunity,3,0,17,Managed,3,62.21,0.282,True,46.72,Block
173,Manager,West,Partner,ApproveDiscount,9,0,6,Managed,3,70.92,0.192,True,52.03,Block
174,Sales Rep,East,Referral,ApproveDiscount,5,1,17,Managed,2,99.69,0.225,False,50.27,Block
175,Manager,West,Web,ViewLead,6,0,6,Managed,5,92.56,0.147,True,58.73,Review
176,Sales Rep,West,Campaign,ViewLead,8,1,17,Managed,3,78.63,0.118,True,54.58,Block
177,Analyst,North,Web,ViewLead,5,0,7,Managed,3,79.59,0.094,True,57.51,Block
178,Manager,West,Campaign,ExportCRM,9,0,19,Managed,5,80.37,0.109,True,55.39,Block
179,Sales Rep,West,Web,ViewLead,6,0,21,Managed,3,76.52,0.202,True,53.74,Block
180,Sales Rep,West,Partner,ViewLead,6,1,12,Managed,2,66.59,0.161,True,50.29,Block
181,Analyst,East,Referral,ViewLead,7,1,6,Managed,4,84.77,0.244,True,52.57,Block
182,Sales Rep,West,Partner,CreateOpportunity,5,0,22,Managed,3,76.76,0.236,True,52.97,Block
183,Sales Rep,North,Campaign,ViewLead,3,0,8,BYOD,5,82.15,0.145,True,55.12,Block
184,Manager,West,Campaign,ViewLead,9,1,18,Managed,3,97.69,0.042,True,63.13,Review
185,Sales Rep,West,Referral,ViewLead,7,0,9,Managed,5,94.36,0.15,True,59.28,Review
186,Manager,North,Campaign,CreateOpportunity,3,1,16,Managed,2,85.27,0.238,True,54.9,Block
187,Sales Rep,North,Partner,EditLead,5,1,17,Managed,2,100.0,0.04,False,54.99,Block
188,Sales Rep,South,Referral,ViewLead,4,0,10,Managed,1,89.41,0.207,True,60.12,Review
189,Sales Rep,West,Campaign,CreateOpportunity,6,0,20,Managed,5,70.66,0.154,True,50.87,Block
190,Admin,East,Referral,ViewLead,5,2,8,Managed,3,91.81,0.157,True,56.2,Block
191,Analyst,North,Referral,EditLead,7,0,15,Managed,1,67.32,0.057,False,46.15,Block
192,Sales Rep,East,Web,ExportCRM,4,4,8,Managed,5,69.4,0.103,False,33.72,Block
193,Sales Rep,North,Campaign,ApproveDiscount,7,1,12,Managed,4,72.06,0.306,False,36.56,Block
194,Manager,North,Campaign,ViewLead,1,1,16,BYOD,1,65.92,0.314,True,47.23,Block
195,Manager,South,Web,ViewLead,5,0,20,BYOD,5,84.25,0.289,True,52.25,Block
196,Manager,South,Referral,EditLead,9,2,15,Managed,3,86.26,0.185,True,53.56,Block
197,Admin,North,Referral,ViewLead,7,0,9,Managed,4,69.57,0.268,True,48.65,Block
198,Sales Rep,South,Referral,ViewLead,5,0,10,BYOD,3,100.0,0.272,True,60.2,Review
199,Support,West,Email,EditLead,8,0,8,Managed,4,66.34,0.085,False,42.1,Block
200,Admin,East,Email,ExportCRM,5,0,22,Managed,4,84.14,0.153,True,56.63,Block
201,Manager,North,Referral,ViewLead,11,0,12,Managed,4,87.84,0.056,True,60.35,Review
202,Sales Rep,South,Email,ViewLead,2,1,9,Managed,5,94.66,0.096,True,58.73,Review
203,Analyst,North,Referral,CreateOpportunity,6,0,10,Managed,2,71.29,0.319,True,49.97,Block
204,Sales Rep,South,Campaign,ViewLead,1,2,17,Managed,2,71.77,0.271,True,47.34,Block
205,Support,East,Campaign,ViewLead,9,0,13,Managed,4,99.39,0.192,True,60.99,Review
206,Support,South,Referral,ExportCRM,6,1,20,Managed,3,85.83,0.244,False,43.95,Block
207,Analyst,West,Email,CreateOpportunity,12,0,10,BYOD,1,92.58,0.374,True,57.04,Block
208,Admin,East,Partner,ApproveDiscount,4,1,22,BYOD,3,88.69,0.133,True,57.72,Block
209,Sales Rep,South,Referral,EditLead,6,1,22,Managed,4,72.04,0.172,False,39.92,Block
210,Sales Rep,South,Campaign,CreateOpportunity,8,1,6,Managed,4,73.37,0.029,True,53.96,Block
211,Manager,South,Campaign,ApproveDiscount,6,0,17,Managed,3,70.83,0.292,True,49.49,Block
212,Support,East,Email,ViewLead,6,0,15,BYOD,4,80.47,0.302,True,51.61,Block
213,Admin,South,Campaign,EditLead,6,0,6,BYOD,1,67.03,0.283,True,50.39,Block
214,Sales Rep,South,Partner,ApproveDiscount,4,1,22,Managed,3,80.72,0.256,False,41.86,Block
215,Sales Rep,North,Web,ViewLead,3,1,20,Managed,4,66.25,0.226,True,46.53,Block
216,Manager,North,Partner,EditLead,5,0,10,Managed,1,84.71,0.231,True,57.88,Block
217,Admin,South,Partner,EditLead,9,0,8,Managed,3,73.36,0.169,True,53.44,Block
218,Sales Rep,North,Campaign,CreateOpportunity,3,1,7,Managed,3,90.26,0.358,True,52.64,Block
219,Sales Rep,North,Referral,CreateOpportunity,3,0,17,Managed,1,72.84,0.057,True,58.08,Review
220,Analyst,East,Email,ViewLead,9,1,16,BYOD,2,78.99,0.18,True,54.15,Block
221,Analyst,West,Campaign,ExportCRM,9,1,10,Managed,4,100.0,0.118,False,51.05,Block
222,Sales Rep,South,Web,CreateOpportunity,5,1,7,Managed,3,64.26,0.048,True,51.29,Block
223,Manager,West,Referral,ViewLead,6,0,12,Managed,1,71.15,0.206,True,53.75,Block
224,Support,East,Referral,ViewLead,10,0,17,Managed,4,87.33,0.09,True,59.32,Review
225,Analyst,West,Referral,ApproveDiscount,8,1,21,Managed,3,83.12,0.464,False,37.48,Block
226,Support,East,Web,CreateOpportunity,4,0,8,Managed,2,69.41,0.131,True,54.03,Block
227,Manager,East,Web,ViewLead,7,0,15,Managed,5,85.28,0.274,True,52.99,Block
228,Analyst,South,Campaign,EditLead,5,0,7,Managed,3,72.83,0.006,False,47.35,Block
229,Admin,West,Referral,ExportCRM,5,0,7,Managed,4,84.81,0.37,True,51.42,Block
230,Sales Rep,South,Web,ViewLead,7,0,20,Managed,1,85.38,0.112,True,61.08,Review
231,Sales Rep,East,Referral,EditLead,3,1,7,Managed,4,71.22,0.132,False,40.62,Block
232,Support,East,Campaign,CreateOpportunity,4,0,10,Managed,4,80.15,0.085,True,56.92,Block
233,Sales Rep,East,Email,ApproveDiscount,9,1,6,Managed,4,74.79,0.223,False,39.6,Block
234,Manager,North,Referral,CreateOpportunity,9,0,20,Managed,5,86.63,0.098,True,57.87,Block
235,Sales Rep,West,Email,ViewLead,5,1,8,Managed,4,75.42,0.276,True,48.49,Block
236,Support,East,Referral,CreateOpportunity,5,0,15,BYOD,2,81.47,0.349,True,52.78,Block
237,Analyst,South,Referral,EditLead,4,0,9,BYOD,2,78.67,0.311,False,42.76,Block
238,Sales Rep,West,Web,EditLead,9,0,17,Managed,5,79.37,0.231,False,42.01,Block
239,Sales Rep,North,Web,ViewLead,3,0,21,Managed,4,94.15,0.083,True,61.86,Review
240,Analyst,North,Email,ApproveDiscount,4,1,8,Managed,5,68.88,0.35,False,33.36,Block
241,Sales Rep,South,Email,EditLead,10,0,7,BYOD,5,88.26,0.372,False,41.58,Block
242,Sales Rep,South,Email,ViewLead,8,0,13,Managed,5,75.47,0.222,True,50.86,Block
243,Support,North,Referral,ViewLead,4,1,14,Managed,3,90.47,0.235,True,55.78,Block
244,Admin,North,Partner,ExportCRM,7,0,10,Managed,5,87.58,0.195,True,55.77,Block
245,Analyst,East,Partner,ViewLead,11,1,6,Managed,5,81.66,0.245,True,50.46,Block
246,Sales Rep,South,Partner,EditLead,6,0,6,Managed,5,77.15,0.26,False,40.51,Block
247,Sales Rep,East,Campaign,ViewLead,6,1,18,Managed,1,71.85,0.131,True,53.87,Block
248,Admin,South,Campaign,EditLead,3,0,20,Managed,5,69.04,0.227,True,48.5,Block
249,Sales Rep,East,Referral,ApproveDiscount,6,0,10,Managed,5,81.19,0.143,False,44.84,Block
250,Manager,East,Email,EditLead,10,0,14,Managed,2,58.78,0.107,True,50.91,Block
251,Sales Rep,East,Campaign,CreateOpportunity,6,0,19,Managed,2,100.0,0.502,True,55.45,Block
252,Analyst,East,Email,CreateOpportunity,5,0,21,BYOD,4,88.61,0.341,True,53.49,Block
253,Manager,East,Campaign,ViewLead,6,0,18,Managed,2,86.02,0.319,True,55.12,Block
254,Sales Rep,East,Web,ViewLead,3,2,21,Managed,4,88.81,0.097,True,55.65,Block
255,Sales Rep,North,Web,EditLead,3,0,14,Managed,4,75.44,0.229,False,41.68,Block
256,Sales Rep,West,Web,EditLead,8,0,12,Managed,3,60.79,0.168,False,39.08,Block
257,Sales Rep,West,Partner,ViewLead,4,0,9,Managed,1,94.0,0.157,True,62.98,Review
258,Sales Rep,East,Partner,ApproveDiscount,3,0,10,Managed,5,77.76,0.193,False,42.38,Block
259,Manager,North,Web,ViewLead,7,0,16,BYOD,5,97.34,0.286,True,56.92,Block
260,Manager,South,Referral,ApproveDiscount,11,1,16,Managed,5,81.36,0.232,True,50.67,Block
261,Analyst,East,Partner,ViewLead,4,0,22,Managed,5,77.32,0.063,True,55.49,Block
262,Sales Rep,North,Referral,ViewLead,12,0,9,BYOD,5,70.52,0.426,True,44.03,Block
263,Sales Rep,North,Partner,EditLead,7,0,13,Managed,5,94.23,0.14,False,49.48,Block
264,Manager,West,Email,CreateOpportunity,5,0,13,Managed,1,99.13,0.12,True,65.71,Review
265,Sales Rep,West,Referral,EditLead,7,2,19,Managed,4,70.7,0.468,False,30.04,Block
266,Manager,West,Web,CreateOpportunity,3,0,22,Managed,3,75.21,0.253,True,51.99,Block
267,Support,West,Partner,EditLead,2,0,11,Managed,5,86.51,0.355,False,41.4,Block
268,Sales Rep,East,Referral,ExportCRM,8,0,12,BYOD,3,66.81,0.266,False,38.74,Block
269,Manager,South,Referral,CreateOpportunity,7,0,12,Managed,4,57.12,0.105,True,48.36,Block
270,Sales Rep,East,Partner,ApproveDiscount,3,1,14,Managed,5,82.53,0.109,False,44.16,Block
271,Admin,West,Campaign,CreateOpportunity,6,0,10,Managed,3,99.35,0.098,True,64.31,Review
272,Support,North,Referral,ApproveDiscount,3,0,14,Managed,2,75.21,0.147,False,45.64,Block
273,Sales Rep,East,Partner,DeleteLead,12,1,10,Managed,5,84.34,0.162,False,43.46,Block
274,Sales Rep,North,Partner,ViewLead,8,0,13,Managed,4,93.65,0.148,True,60.07,Review
275,Sales Rep,West,Web,DeleteLead,7,0,10,Managed,5,94.82,0.431,False,42.4,Block
276,Support,South,Campaign,ExportCRM,5,1,21,Managed,2,87.72,0.102,False,49.16,Block
277,Analyst,East,Referral,ViewLead,3,2,7,BYOD,1,86.91,0.249,True,54.2,Block
278,Admin,South,Partner,CreateOpportunity,4,1,7,BYOD,2,80.94,0.3,True,51.82,Block
279,Manager,South,Web,ApproveDiscount,7,0,18,Managed,2,86.32,0.197,True,58.28,Review
280,Support,East,Web,ViewLead,4,0,9,BYOD,3,76.51,0.084,True,56.68,Block
